,College Name,Total Enrollment,State,State abbreviation,Graduation Rate,Percent of Applications Accepted,In-state Tuition,In-state Total,Out-of-state Tuition,Out-of-state Total,Room and Board,Avg Book Costs,Avg Personal Costs,Female Students,American Indian / Alaska Native Students,Asian Students,Black Students,Hispanic Students,Native Hawaiian / Pacific Islander Students,White Students,Multi-racial Students,Foreign Exchange Students,Total Minority,# of Applications,Full-time Undergrads,Part-time Undergrads,Percent of Faculty with PhD,Student:Faculty Ratio,Avg Instructional Expenditure per Student,Avg Early Career Pay,Avg Mid Career Pay,Percent STEM Majors,College Type,Degree Length
0,University of Central Florida,60767,Florida,FL,46,42.0,6368,15985,22467,32084,9617.0,700,1600,33482,120,3343,6400,13108,129,33293,1841,1515,24941,6986,12330,7152,80,22.2,6742,49700,88600,16,Public,4 Year
1,Michigan State University,50081,Michigan,MI,71,83.0,14460,24782,39765,50087,10322.0,504,600,25767,127,2214,3196,1878,46,33115,1217,7642,8678,18114,26640,4120,93,14.0,10520,55300,100800,20,Public,4 Year
2,Florida International University,49610,Florida,FL,66,63.0,6558,17440,18956,29838,10882.0,800,3028,27757,42,1434,5977,31211,57,5683,1042,3619,39763,3306,10208,9310,81,13.9,6722,49600,90100,16,Public,4 Year
3,University of Florida,49459,Florida,FL,66,71.0,6381,16501,28658,38778,10120.0,630,1530,26820,137,3501,3151,8127,240,27317,1108,4295,16264,12445,24470,3286,88,13.4,14737,55800,102800,29,Public,4 Year
4,New York University,49274,New York,NY,71,53.0,51828,69984,51828,69984,18156.0,450,1000,27153,94,7314,2374,4267,45,17326,1248,11495,15342,13594,12408,2814,87,7.8,21227,63100,117700,18,Private,4 Year
5,University of Southern California,42453,California,CA,68,69.0,56225,71620,56225,71620,15395.0,600,2210,22112,73,7696,2238,5286,104,13922,1380,9709,16777,12229,13259,1429,90,11.4,17007,64500,120600,23,Private,4 Year
6,Florida State University,41226,Florida,FL,58,75.0,6516,17332,21683,32499,10816.0,600,1020,22645,116,1029,3377,6594,59,26466,1063,1875,12238,11651,18906,3242,80,23.1,7250,50800,92700,18,Public,4 Year
7,University of Georgia,35197,Georgia,GA,63,70.0,11830,21868,30404,40442,10038.0,525,1755,20276,37,2859,2805,1637,37,24567,1052,1739,8427,11220,19553,2748,88,14.7,7881,54400,100700,14,Public,4 Year
8,Iowa State University,34435,Iowa,IA,65,88.0,8988,17708,23392,32112,8720.0,640,2055,15145,80,940,891,1451,31,24843,672,3980,4065,8427,18676,1715,81,19.2,8420,56100,101300,31,Public,4 Year
9,George Mason University,33729,Virginia,VA,46,77.0,12462,23922,35922,47382,11460.0,580,1050,18123,72,5001,3153,3420,122,16371,1209,2136,12977,5653,9528,3822,93,19.3,6751,58900,105700,23,Public,4 Year
10,Georgia State University,32556,Georgia,GA,34,62.0,10858,22236,29432,40810,11378.0,720,3450,19208,62,3386,11875,2651,27,10788,1335,1506,19336,3793,7732,9054,87,19.0,7762,50600,90800,18,Public,4 Year
